Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
$	NULL				$
^	NULL				^
ü	ü	dʒüy ʊna:dʒɪ, dʒünʃi	Oroqen	4	\xfc
-	+	ɔ:-, ga-	Oroqen	310	-
ə:	əː	kurə:kə:n, dʒə:ktə	Oroqen	35	\u0259 :
ɪ:	ɪː	ʃɪ:la	Oroqen	1	\u026a :
ŋŋ	ŋː	tʊŋŋa, ʃaŋŋan	Oroqen	9	\u014b \u014b
ʃʃ	ʃː	ɪʃʃa	Oroqen	1	\u0283 \u0283
ʊ:	ʊː	arʊ:n, dʒʊ:rki	Oroqen	7	\u028a :
a:	aː	ʃa:wukanan, ŋa:la	Oroqen	53	a :
e:	eː	gawle:n, be:wyaŋ	Oroqen	4	e :
ɛ:	ɛː	gɛ:yin, yɛ:da	Oroqen	20	\u025b :
i:	iː	ʃi:p, ʃi:rə	Oroqen	10	i :
kk	kː	ətirkkətʃən, atirkka:tʃan	Oroqen	2	k k
ll	lː	tullə, dʒu:llə	Oroqen	2	l l
o:	oː	ko:rgə, ko:məkə	Oroqen	7	o :
ɔ:	ɔː	dɔ:ldi-, nɔ:nin	Oroqen	26	\u0254 :
rr	rː	dʒu:rrə	Oroqen	1	r r
u:	uː	dʒu:gduŋi dʒu:n, dʒu:gdu	Oroqen	22	u :
ə:$	əː	kuŋkə:, ulə:-	Oroqen	35	\u0259 : $
ɪ:$	ɪː	aʃakɪ:, adɪ:	Oroqen	4	\u026a : $
ʊ:$	ʊː	nalɛmʊ:, ʊrʊ:-	Oroqen	2	\u028a : $
^ə:	əː	ə:m, ə:ri-	Oroqen	3	^ \u0259 :
^ʊ:	ʊː	ʊ:ŋkan, ʊ:ŋnɪ-	Oroqen	2	^ \u028a :
^a:	aː	a:lan, a:ʃɪn-	Oroqen	5	^ a :
^i:	iː	i:kə, i:rakta	Oroqen	8	^ i :
^o:	oː	o:n, o:tilə	Oroqen	4	^ o :
^ɔ:	ɔː	ɔ:ki, ɔ:də:-	Oroqen	6	^ \u0254 :
^u:	uː	u:n, u:yi-	Oroqen	2	^ u :
a:$	aː	nɔ:da:-, ʊtaldʒa:-	Oroqen	15	a : $
ɛ:$	ɛː	bəbɛ:, ərəxəltɛ:-	Oroqen	9	\u025b : $
i:$	iː	uni:-, ʃuʃi:	Oroqen	11	i : $
o:$	oː	ulo:-, oŋko:	Oroqen	2	o : $
ɔ:$	ɔː	mɔ:, dʒɔ:-	Oroqen	8	\u0254 : $
u:$	uː	dʒu:, gu:	Oroqen	14	u : $
^ə:$	əː	ə:-	Oroqen	1	^ \u0259 : $
^i:$	iː	i:-	Oroqen	1	^ i : $
^ɔ:$	ɔː	ɔ:-	Oroqen	4	^ \u0254 : $
^u:$	uː	u:-	Oroqen	1	^ u : $
ə	ə	ulkəkən, ətəkən-	Oroqen	276	\u0259
ə$	ə	itʃə-, iɲə-	Oroqen	161	\u0259 $
^ə	ə	ətəkən-, əɲəkə	Oroqen	80	^ \u0259
^ə$	ə	ə-	Oroqen	2	^ \u0259 $
ɸ	ɸ	daiɸu	Oroqen	1	\u0278
^ɸ	ɸ	ɸəytin	Oroqen	1	^ \u0278
ɪ	ɪ	ʊmʊktaŋi ʃɪŋarɪnɪn, ɲɪrayɪkan	Oroqen	126	\u026a
ɪ$	ɪ	tarɪ, tʃʊrgɪ-	Oroqen	53	\u026a $
